,Type,Year Built,Heating,Cooling,Parking,Lot,Price/sqft,Buyers Agency Fee,zpid
666,Townhouse,Built in 2008,Central,Central air,1 Attached garage space,"1,176 sqft",$315 price/sqft,3% buyers agency fee,2060774801
667,Single family residence,Built in 1978,No data,No data,1 Garage space,No data,$322 price/sqft,,99900545
668,Single family residence,Built in 2001,"Central, natural gas, heat pump, generator",Central electric,Garage,2.24 Acres,$248 price/sqft,,105257841
669,Condominium,Built in 1920,"Central, electric","Central air, electric",On street,,$364 price/sqft,,2094536240
670,Single family residence,Built in 2018,"Central, electric","Central air, electric",2 Garage spaces,No data,$155 price/sqft,,298038797
671,Single family residence,Built in 1977,"Central, gas","Central air, electric",1 Garage space,0.38 Acres,$147 price/sqft,,105236999
672,Single family residence,Built in 1945,Oil,Window unit(s),Carport,1.07 Acres,$139 price/sqft,,105264317
673,Single family residence,Built in 2000,Propane,Window unit(s),Open parking,8.07 Acres,,2.5% buyers agency fee,70010346
674,Single family residence,Built in 1967,Forced air,"Ceiling fan(s), window unit(s)",2 Open parking spaces,0.41 Acres,$203 price/sqft,2% buyers agency fee,35887159
675,Single family residence,Built in 2022,"Electric, heat pump, zoned","Ceiling fan(s), central air, zoned",2 Garage spaces,0.30 Acres,$199 price/sqft,3% buyers agency fee,227393691
676,Single family residence,Built in 2004,"Central, natural gas","Ceiling fan(s), central air",2 Garage spaces,"10,018 sqft",$214 price/sqft,2.5% buyers agency fee,71751823
677,Single family residence,Built in 1965,Baseboard,"Ceiling fan(s), central air",1 Carport space,0.46 Acres,$121 price/sqft,,14212706
678,Single family residence,Built in 2002,"Central, heat pump, electric","Central electric, central heat pump",Attached garage,1.66 Acres,$116 price/sqft,,105261468
679,Mobile home,Built in 1996,No data,No data,No data,,,3% buyers agency fee,69944460
680,Single family residence,Built in 2021,Other,Other,2 Carport spaces,5.47 Acres,$283 price/sqft,3% buyers agency fee,2060677592
681,Single family residence,Built in 2000,Central,Central air,2 Attached garage spaces,"8,712 sqft",$224 price/sqft,3% buyers agency fee,59932858
682,Single family residence,Built in 2005,Heat pump,Heat pump,2 Attached garage spaces,"9,583 sqft",$131 price/sqft,,70827340
683,Single family residence,Built in 2004,Electric,Central air,2 Attached garage spaces,0.68 Acres,$174 price/sqft,2.50% buyers agency fee,69878800
684,Single family residence,Built in 1780,"None, other",None,On street,"3,598 sqft",$552 price/sqft,,52970257
685,Condominium,Built in 1963,Central,"Ceiling fan(s), central air",2 Parking spaces,,$226 price/sqft,3% buyers agency fee,2070580040
686,Single family residence,Built in 2001,"Central, electric","Ceiling fan(s), central air",2 Attached garage spaces,0.30 Acres,$212 price/sqft,3% buyers agency fee,14550784
687,Singlefamily,Built in 1999,Other,Central,No data,0.50 Acres,$73 price/sqft,,76592317
688,Single family residence,Built in 2007,"Central, forced air, natural gas","Ceiling fan(s), central air",2 Garage spaces,0.32 Acres,$139 price/sqft,2.5% buyers agency fee,87939636
689,Townhouse,Built in 2002,Central,Central air,1 Garage space,"1,306 sqft",$197 price/sqft,3% buyers agency fee,60831336
690,Single family residence,Built in 2005,"Central, forced air, natural gas, zoned","Ceiling fan(s), central air, zoned",2 Garage spaces,"9,147 sqft",$126 price/sqft,3% buyers agency fee,237700233
691,Single family residence,Built in 2020,"Central, forced air, natural gas","Ceiling fan(s), central air",2 Attached garage spaces,"1,742 sqft",$250 price/sqft,3% buyers agency fee,88808710
692,Single family residence,Built in 1995,"Central, natural gas",Central electric,Garage,1.43 Acres,,,105429797
693,Single family residence,Built in 1977,Central,"Ceiling fan(s), central air",2 Carport spaces,0.49 Acres,$113 price/sqft,3.00% buyers agency fee,14905126
694,Single family residence,Built in 1994,"Electric, fireplace(s), forced air, natural gas","Attic fan, central air",2 Attached garage spaces,0.48 Acres,$120 price/sqft,,14985270
695,Townhouse,Built in 1974,"Forced air, heat pump","Central air, heat pump",2 Garage spaces,"1,568 sqft",$149 price/sqft,2.5% buyers agency fee,54450511
696,Single family residence,Built in 1997,"Central, forced air","Ceiling fan(s), central air, electric air filter",2 Garage spaces,0.55 Acres,$178 price/sqft,2.50% buyers agency fee,2062922543
697,Single family residence,Built in 1973,Central,Central air,2 Garage spaces,2.50 Acres,$157 price/sqft,3% buyers agency fee,14106156
698,Single family residence,Built in 1993,"Electric, heat pump","Central air, electric",1 Garage space,0.25 Acres,$230 price/sqft,,14131106
699,Single family residence,Built in 1971,"Central, forced air, propane","Central air, electric",Carport,1.20 Acres,$66 price/sqft,,2060678380
700,Single family residence,Built in 1964,"Central, electric",Ceiling fan(s),1 Carport space,0.51 Acres,$166 price/sqft,3% buyers agency fee,35955069
701,Single family residence,Built in 1998,"Central, heat pump, propane","Central air, electric",Attached garage,2 Acres,,,101336347
702,Townhouse,Built in 2010,"Central, electric","Central air, electric",2 Garage spaces,"2,090 sqft",$139 price/sqft,,108590443
703,Single family residence,Built in 1979,Central,Central air,2 Attached garage spaces,"8,712 sqft",$178 price/sqft,2.5% buyers agency fee,46091760
704,Single family residence,Built in 1995,Central,"Electric, central air",2 Garage spaces,0.43 Acres,$277 price/sqft,3.0% buyers agency fee,337205738
705,Single family residence,Built in 1938,Central,Central air,No data,No data,$159 price/sqft,2% buyers agency fee,45946980
706,Single family residence,Built in 2005,"Central, electric","Central air, ceiling fan(s)",2 Garage spaces,"10,018 sqft",$180 price/sqft,,70741873
707,Single family residence,Built in 1996,Central,Central air,2 Attached garage spaces,"10,018 sqft",$231 price/sqft,2.5% buyers agency fee,46464844
708,Single family residence,Built in 1984,"Central, electric",Central air,2 Attached garage spaces,0.25 Acres,$282 price/sqft,3% buyers agency fee,47500069
709,Townhouse,Built in 2005,"Central individual, electric","Central air, electric",1 Attached garage space,No data,$340 price/sqft,2.5% buyers agency fee,64430615
710,Single family residence,Built in 1993,"Electric, heat pump",Central air,2 Attached garage spaces,4.96 Acres,$265 price/sqft,2% buyers agency fee,44749216
711,Single family residence,Built in 1991,Central,Central air,2 Attached garage spaces,"10,018 sqft",$266 price/sqft,3% buyers agency fee,46243696
712,Single family residence,Built in 2005,Electric,Central air,2 Garage spaces,No data,$153 price/sqft,2% buyers agency fee,71035112
713,Single family residence,Built in 2005,Electric,Central air,2 Attached garage spaces,"6,098 sqft",$214 price/sqft,2.5% buyers agency fee,68971804
714,Single family residence,Built in 1957,Electric,None,No data,"9,583 sqft",$184 price/sqft,2.25% buyers agency fee,46215921
715,Single family residence,Built in 2020,"Central, electric, heat pump",Central air,2 Attached garage spaces,"7,405 sqft",$366 price/sqft,2.5% buyers agency fee,66139249
716,Single family residence,Built in 2003,Central,Central air,2 Attached garage spaces,"5,662 sqft",$196 price/sqft,2.5% buyers agency fee,66161279
717,Single family residence,Built in 2018,Natural gas,Central air,2 Garage spaces,"5,662 sqft",$274 price/sqft,2.25% buyers agency fee,294889879
718,Single family residence,Built in 1996,Electric,Central air,2 Attached garage spaces,"9,583 sqft",$273 price/sqft,3% buyers agency fee,46261090
719,Single family residence,Built in 1995,Central,Central air,None,10 Acres,$249 price/sqft,3% buyers agency fee,48029902
720,Single family residence,Built in 2012,Central,Central air,3 Garage spaces,No data,$269 price/sqft,2.5% buyers agency fee,98973250
721,Single family residence,Built in 2004,Central,Central air,2 Garage spaces,No data,$230 price/sqft,2.5% buyers agency fee,66772053
722,Single family residence,Built in 1960,Electric,Central air,2 Attached garage spaces,"7,405 sqft",$181 price/sqft,2.00% buyers agency fee,46048140
723,Single family residence,Built in 1966,Electric,Electric,1 Garage space,No data,$240 price/sqft,2.50% buyers agency fee,44548617
724,Single family residence,Built in 1987,Central,Central air,No data,0.40 Acres,$32 price/sqft,3% buyers agency fee,45845546
725,Condominium,Built in 1970,Electric,"Ceiling fan(s), central air, electric",1 Garage space,,$468 price/sqft,2.5% buyers agency fee,43828569
726,Single family residence,Built in 2004,Central,Central air,2 Garage spaces,No data,$208 price/sqft,2.5% buyers agency fee,67406750
727,Single family residence,Built in 1930,"Central, electric",Central air,1 Carport space,"10,454 sqft",$361 price/sqft,2.5% buyers agency fee,46070621
728,Single family residence,Built in 1973,"Central, electric",Central air,"Concrete, driveway","9,147 sqft",$117 price/sqft,3.00% buyers agency fee,43613825
729,Single family residence,Built in 1983,Central,Central air,1 Attached garage space,"8,276 sqft",$255 price/sqft,2.5% buyers agency fee,46104048
730,Single family residence,Built in 1953,Central,Central air,1 Garage space,"8,712 sqft",$178 price/sqft,,47938287
731,Single family residence,Built in 1996,Central,Central air,2 Attached garage spaces,"6,098 sqft",$311 price/sqft,,47198737
732,Single family residence,Built in 1914,Central,Central air,No data,No data,$57 price/sqft,3% buyers agency fee,44484267
733,Single family residence,Built in 2022,"Central, electric","Electric, central air",1 Garage space,No data,$162 price/sqft,2.5% buyers agency fee,44445343
734,Single family residence,Built in 1999,Central,"Central air, electric",2 Attached garage spaces,"8,174 sqft",$162 price/sqft,2.5% buyers agency fee,46581581
735,Single family residence,Built in 1980,"Central, electric",Central air,2 Attached garage spaces,"7,840 sqft",$262 price/sqft,,44851715
736,Townhouse,Built in 1988,"Central, electric","Central air, electric",1 Garage space,No data,$229 price/sqft,2.5% buyers agency fee,46552377
737,Single family residence,Built in 1987,"Multi units, central, fireplace(s)","Multi units, central air, ceiling fan(s)",2 Garage spaces,0.33 Acres,$140 price/sqft,2.5% buyers agency fee,44684018
738,Single family residence,Built in 1966,Central,Central air,1 Attached garage space,0.32 Acres,$195 price/sqft,,44976578
739,Single family residence,Built in 1988,Central,Central air,2 Attached garage spaces,0.25 Acres,$206 price/sqft,2.5% buyers agency fee,47975086
740,Single family residence,Built in 2003,"Central, solar",Central air,2 Garage spaces,No data,$187 price/sqft,3% buyers agency fee,66141249
741,Single family residence,Built in 1957,Central,Central air,2 Garage spaces,No data,$126 price/sqft,2.75% buyers agency fee,44530910
742,"Manufactured home, single family residence",Built in 2004,"Central, electric, heat pump",Central air,1 Attached garage space,,$157 price/sqft,2.5% buyers agency fee,55745272
743,Single family residence,Built in 1999,Electric,Central air,2 Attached garage spaces,"7,405 sqft",$267 price/sqft,3% buyers agency fee,54707234
744,Single family residence,Built in 1989,"Central, electric","Central air, electric",2 Attached garage spaces,0.27 Acres,$184 price/sqft,3.00% buyers agency fee,43653197
745,Single family residence,Built in 1956,Electric,"Central air, ceiling fan(s)",Carport,"4,791 sqft",$132 price/sqft,,48043811
746,Single family residence,Built in 1972,Electric,Wall/window unit(s),No data,"5,662 sqft",$146 price/sqft,,45085050
747,Single family residence,Built in 1987,"Central, fireplace(s)","Central air, ceiling fan(s)",2 Garage spaces,0.39 Acres,$174 price/sqft,1% buyers agency fee,44631517
748,Single family residence,Built in 2000,Central,"Central air, ceiling fan(s)",1 Garage space,"5,227 sqft",$158 price/sqft,2.5% buyers agency fee,45596818
749,Single family residence,Built in 2014,Central,Central air,3 Garage spaces,"7,800 sqft",$217 price/sqft,2.75% buyers agency fee,125961359
750,Single family residence,Built in 1996,"Central, electric","Ceiling fan(s), central air, electric",2 Attached garage spaces,"5,596 sqft",$328 price/sqft,2.5% buyers agency fee,42885475
751,Condominium,Built in 2006,"Central, electric",Central air,Assigned,,$178 price/sqft,,82052263
752,Single family residence,Built in 2004,Central,Central air,3 Garage spaces,No data,$79 price/sqft,2.5% buyers agency fee,66133798
753,Single family residence,Built in 1979,Central,Central air,Open parking,No data,$228 price/sqft,3% buyers agency fee,44573859
754,Single family residence,Built in 2008,"Central, electric, fireplace(s)","Central air, ceiling fan(s)",2 Garage spaces,"10,018 sqft",$180 price/sqft,,44730260
755,Single family residence,Built in 1925,"Central, wall units / window unit","Central air, wall/window unit(s)",No data,"5,227 sqft",$200 price/sqft,2.5% buyers agency fee,45715382
756,Single family residence,Built in 1977,Central,Central air,2 Attached garage spaces,No data,$195 price/sqft,2.5000% buyers agency fee,48088801
757,Single family residence,Built in 1972,"Electric, fireplace(s)","Central air, ceiling fan(s)",2 Attached garage spaces,0.54 Acres,$143 price/sqft,,42754046
758,Townhouse,Built in 1982,Central,Central air,No data,"1,742 sqft",$209 price/sqft,2% buyers agency fee,44899635
759,Single family residence,Built in 1988,Electric,Central air,1 Attached garage space,"10,454 sqft",$223 price/sqft,2.5000% buyers agency fee,43515690
760,Single family residence,Built in 2005,Central,Central air,2 Attached garage spaces,"6,969 sqft",$150 price/sqft,,68582232
761,Single family residence,Built in 2001,Central,Central air,2 Garage spaces,"5,502 sqft",$206 price/sqft,2.5% buyers agency fee,44327853
762,Manufactured home,Built in 1986,"Central, electric",Central air,1 Garage space,,$139 price/sqft,2.5000% buyers agency fee,43370712
